"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"LODHA",3465,14724,18189,16797.427515,1126.10313,17923.530645,37920,1070.1
"OBEROIRLTY",2983,5088,8071,17360.34048,481.89211,17842.23259,22055,1665
"PATANJALI",3454,23205,26659,16573.67397,803.67615,17377.35012,56843,520.7
"KPITTECH",3085,16585,19670,15815.43881,1269.4543875,17084.8931975,18179,1187
"BRITANNIA",2227,9546,11773,16473.111375,566.656,17039.767375,37715,5900
"LICHSGFIN",3059,7838,10897,16454.9964,492.2824,16947.2788,51393,531.9
"ADANIENSOL",2587,10895,13482,16048.48248,876.62358,16925.10606,40749,906
"APLAPOLLO",2193,9001,11194,14969.829525,1021.30182,15991.131345,37666,1934.3
"TORNTPHARM",1519,2751,4270,15243.756375,259.04075,15502.797125,13887,4021.7
"CONCOR",2234,9334,11568,14571.823625,650.110125,15221.93375,45291,520
"EXIDEIND",2259,7508,9767,14117.75316,548.23572,14665.98888,38070,344.75
"SIEMENS",2674,12138,14812,13766.468205,617.766485,14384.23469,29179,2916.3
"PETRONET",2515,7178,9693,13772.56705,516.76656,14289.33361,39602,285
"MANKIND",2708,12063,14771,13386.28113,447.341985,13833.623115,18690,2174.6
"NYKAA",1672,4223,5895,13312.4121875,409.644375,13722.0565625,22473,252.8
"LICI",2273,11161,13434,13147.04692,535.85301,13682.89993,34985,820
"PNBHOUSING",2036,3670,5706,12913.96717,406.075865,13320.043035,28264,959.8
"DABUR",1958,10174,12132,12676.668125,540.346875,13217.015,35494,514.6
"PAGEIND",2465,13467,15932,12732.054804000001,360.1170945,13092.171898499999,29278,34210
"NAUKRI",2501,10347,12848,12428.6087625,531.6479625,12960.256725,38233,1329.8
"FORTIS",1735,6905,8640,12149.545575,497.1280125,12646.6735875,22167,898.05
"DALBHARAT",1680,4535,6215,11895.387855,493.283895,12388.67175,15028,2149.8
"PREMIERENE",2596,10716,13312,11143.73023,730.01563,11873.74586,23309,740
"PIIND",2041,4736,6777,11631.07645,240.294145,11871.370595,24468,3292.8
"FINNIFTY",333,64054,64387,5526.447234,6110.364342000001,11636.811575999998,24373,27523.15
"HUDCO",1842,6583,8425,11104.820175,465.122745,11569.94292,31529,214.9
"PGEL",1888,8829,10717,10607.150425,695.176845,11302.32727,25402,585.4
"IIFL",1009,4638,5647,10598.601585,667.364115,11265.9657,13112,633.1
"MFSL",1544,3274,4818,10207.5192,152.11356,10359.63276,30834,1652
