"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"TECHM",2610,16534,19144,25854.84804,2495.87592,28350.72396,52787,1636.1
"BHEL",3605,18180,21785,25661.748525,2651.0460375,28312.7945625,57381,269.05
"MANAPPURAM",3021,8090,11111,26220.2019,2068.4898,28288.6917,29538,290.95
"DLF",4905,18110,23015,26465.560935,1609.22388,28074.784815,91768,656.35
"JINDALSTEL",3529,14250,17779,25876.6135,2146.6375625,28023.2510625,32523,1176.6
"ADANIGREEN",4239,20160,24399,24535.62456,3418.2312,27953.85576,69223,959.9
"VBL",5293,16507,21800,26397.218475,1526.9560875,27924.1745625,79083,439.4
"PAYTM",2962,8798,11760,25968.6629875,1709.832895,27678.4958825,42044,1206.8
"BPCL",3104,17228,20332,23630.23352,2626.40793,26256.64145,32333,379.7
"LTF",3887,12057,15944,24636.001725,1527.687,26163.688725,41482,283.65
"TITAN",3292,19728,23020,23629.5400075,2239.5914975,25869.131505,81386,4082.7
"UPL",2309,10031,12340,23342.4970605,1749.7349415,25092.232001999997,37299,744.95
"SAIL",3176,5943,9119,23332.82382,1187.00662,24519.83044,55936,157.52
"MAZDOCK",4547,16928,21475,21587.9495,2370.1428,23958.0923,50527,2395.5
"BANKINDIA",2594,7920,10514,22029.18224,1544.11556,23573.2978,19172,162.8
"CDSL",3389,11970,15359,21832.6710975,1388.99291,23221.6640075,48609,1350.3
"AMBER",3296,11854,15150,20920.80719,2192.37338,23113.18057,19520,6448.5
"LTIM",2495,12495,14990,21283.310955,1742.923605,23026.23456,27484,5690
"JSWSTEEL",2562,12026,14588,21268.0183275,1723.272435,22991.2907625,95735,1228.8
"NHPC",4136,21160,25296,20571.2256,2173.42016,22744.64576,25969,80.18
"IDFCFIRSTB",2679,8918,11597,21238.653695,1241.41423,22480.067925,51902,85.17
"UNIONBANK",2577,11263,13840,20290.9600725,1938.6398475,22229.59992,30386,177.2
"INDUSTOWER",2761,7705,10466,20792.97421,1193.50166,21986.47587,68041,443.5
