Nifty IT,Nifty Media,Nifty Private Bank,Nifty Realty,Nifty CPSE,Nifty REITs & InvITs,Nifty PSU Bank,Nifty Bank,Nifty Auto,Nifty FMCG,Nifty Metal,Nifty Consumer Durables,Nifty Oil and Gas,Nifty Capital Markets,Nifty Midcap Liquid 15,Nifty100 Liquid 15,Nifty Cement,Nifty India Railways PSU,Nifty India Tourism,Nifty50 Shariah,Nifty India Defence,Nifty Chemicals,Nifty Financial Services,Nifty Financial Services 25/50,Nifty Healthcare,Nifty Pharma,Nifty MidSmall IT & Telecom,Nifty PSE,Nifty India Internet,Nifty Shariah 25,Nifty Financial Services Ex Bank,Nifty MidSmall Healthcare,Nifty Commodities,Nifty India Consumption,Nifty India Digital,Nifty Infrastructure,Nifty MidSmall India Consumption,Nifty MNC,Nifty Mobility,Nifty Non-Cyclical Consumer,Nifty Services Sector,Nifty Transportation & Logistics,Nifty MidSmall Financial Services,Nifty Core Housing,Nifty EV & New Age Automotive,Nifty India Select 5 Corporate Groups (MAATR),Nifty Waves,Nifty Energy,Nifty500 Healthcare,Nifty Conglomerate 50,Nifty Housing,Nifty100 ESG Sector Leaders,Nifty India Manufacturing,Nifty India New Age Consumption,Nifty500 Multicap India Manufacturing 50:30:20,Nifty500 Multicap Infrastructure 50:30:20,Nifty Rural,Nifty100 Enhanced ESG,Nifty100 ESG,Nifty India Infrastructure & Logistics,Nifty IPO,Nifty500 Shariah,Nifty SME Emerge,OTHERS
,,,,,,,,,,,,,,,,,,,,,SWANCORP,RECLTD,RECLTD,ALKEM,ALKEM,PERSISTENT,OIL,IXIGO,TCS,HDFCLIFE,PFIZER,HINDPETRO,DMART,POLICYBZR,APOLLOHOSP,SWIGGY,SIEMENS,TVSMOTOR,DMART,MAXHEALTH,ADANIPORTS,LTF,POLYCAB,CGPOWER,INDIACEM,SILLYMONKS,AEGISLOG,AGARWALEYE,JSWSTEEL,KEI,BHARTIARTL,NAVINFLUOR,EIHOTEL,EXIDEIND,KAYNES,SHRIRAMFIN,GAIL,GAIL,INDUSTOWER,SAATVIKGL,COFORGE,SHRITECH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIFLCAPS,DRREDDY,JIOFIN,NEULANDLAB,ADANIGREEN,TATACONSUM,MPHASIS,HINDPETRO,HEROMOTOCO,3MINDIA,HINDPETRO,TATACONSUM,HDFCLIFE,AIAENG,FEDERALBNK,BAJAJHFL,ARE&M,TRENT,DNAMEDIA,INOXWIND,LAURUSLABS,BAJAJHLDNG,GODREJPROP,INFY,TORNTPHARM,LEMONTREE,NAVINFLUOR,NHPC,MUTHOOTFIN,HINDALCO,HINDALCO,THERMAX,GLOBECIVIL,ELGIEQUIP,TRANSTEEL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRF,ICICIGI,GLENMARK,JINDALSTEL,HINDUNILVR,IDEA,ADANIGREEN,JUBLFOOD,CRISIL,SONACOMS,HINDUNILVR,ADANIPORTS,TVSMOTOR,HUDCO,RAMCOCEM,FLUOROCHEM,ULTRACEMCO,RAJTV,CGPOWER,SAILIFE,GODREJAGRO,JKCEMENT,NTPC,COROMANDEL,ETERNAL,SUNDRMFAST,CASTROLIND,ASTRAL,M&M,M&M,ENGINERSIN,SETL,NETWEB,VIVIANA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONGC,SBILIFE,FORTIS,SRF,APOLLOHOSP,TECHM,MOTHERSON,OBEROIRLTY,MARUTI,SWIGGY,GODREJCP,DMART,SONACOMS,INDIANB,PHOENIXLTD,TMPV,TMPV,SAMBHAAV,NLCINDIA,POLYMED,BAJFINANCE,JSWSTEEL,TORNTPHARM,AUROPHARMA,UTIAMC,AUROPHARMA,NH,ASHOKLEY,NAUKRI,NAUKRI,GMRAIRPORT,ATHERENERG,BALKRISIND,PREMIUM,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERSISTENT,BAJAJFINSV,AJANTPHARM,SHREECEM,TVSMOTOR,AFFLE,LT,VMM,TIMKEN,MOTHERSON,SWIGGY,JIOFIN,SWIGGY,RBLBANK,OBEROIRLTY,OLAELEC,TATACHEM,SUNTV,TORNTPOWER,SUNPHARMA,CGPOWER,INDUSINDBK,LTM,ABREL,HDFCAMC,ABREL,EXIDEIND,ASIANPAINT,KOTAKBANK,KOTAKBANK,POWERGRID,UTLSOLAR,TIINDIA,PATTECH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAVELLS,PFC,ABBOTINDIA,VEDL,GODREJCP,BHARTIHEXA,SHREECEM,BLUESTARCO,ABBOTINDIA,HEROMOTOCO,JUBLFOOD,SBILIFE,MOTHERSON,YESBANK,BLUESTARCO,OLECTRA,ADANIPORTS,ONMOBILE,JSWENERGY,VIJAYA,CEATLTD,TORNTPOWER,SHRIRAMFIN,ASTRAL,KALYANKJIL,ASTRAL,BHARTIARTL,SAMMAANCAP,BHARTIARTL,BHARTIARTL,GAIL,GKENERGY,KPITTECH,SUNREST,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSE,LALPATHLAB,GRASIM,HEROMOTOCO,SONATSOFTW,GRASIM,ABBOTINDIA,LINDEINDIA,MARUTI,DABUR,BAJAJFINSV,HEROMOTOCO,BANDHANBNK,ACC,HYUNDAI,M&MFIN,TIPSMUSIC,PREMIERENE,ASTERDM,JSWENERGY,JSWENERGY,ABB,ASHOKLEY,TATACOMM,AARTIIND,NTPC,TATACOMM,INFY,INFY,COCHINSHIP,EPACKPEB,INDUSTOWER,DHANLAXMI,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABCAPITAL,RAINBOW,IOC,MARUTI,SWIGGY,SUZLON,DABUR,PGHH,IRCTC,IRCTC,TECHM,MARUTI,UNIONBANK,SHREECEM,BAJAJ-AUTO,JIOFIN,TVTODAY,GVT&D,MAXHEALTH,TRENT,CROMPTON,ASIANPAINT,ABB,GODREJPROP,ASHOKLEY,MSUMI,PNB,NTPC,NTPC,POWERINDIA,IVALUE,THERMAX,AKIKO,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LICI,GLAND,RELIANCE,BRITANNIA,TCS,IOC,IRCTC,VEDL,IOC,BRITANNIA,APOLLOHOSP,APOLLOTYRE,BSE,GRASIM,TATACHEM,TATACONSUM,ZEEMEDIA,ENRIN,LUPIN,ULTRACEMCO,SBIN,ETERNAL,PIIND,AMBER,INOXWIND,INDIGO,PIIND,TORNTPHARM,TORNTPHARM,SIGNATURE,PWL,SAGILITY,BOSS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LICHSGFIN,ALKEM,ONGC,ITC,IRCTC,RELIANCE,RADICO,BRITANNIA,RELIANCE,ITC,BSE,IRCTC,ABCAPITAL,LICHSGFIN,TVSMOTOR,IDEA,TVVISION,IREDA,WOCKPHARMA,TMPV,DIXON,BAJFINANCE,KEI,SOBHA,PIIND,SUNDRMFAST,PNBHOUSING,LTM,LTM,TITAGARH,STYL,RRKABEL,CBAZAAR,
