"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NAUKRI",5064,7042,12106,25483.833,501.59805,25985.43105,34364,1340
"OBEROIRLTY",4337,6524,10861,25059.98474,365.97743,25425.96217,20210,1665
"DALBHARAT",3535,8970,12505,24568.024325,305.00977,24873.034095,17437,2135
"360ONE",4093,5921,10014,24079.6527,206.1995,24285.8522,9976,1200
"NCC",5150,9568,14718,21568.0455,486.72063,22054.76613,12017,154.41
"NUVAMA",3332,8299,11631,21300.2379,449.222325,21749.460225,15034,1453.5
"KFINTECH",4051,5069,9120,20981.79125,324.737255,21306.528505,16310,1093
"BLUESTARCO",3754,9292,13046,20959.386695,144.1537175,21103.5404125,12688,1708
"NIFTYNXT50",1195,24037,25232,20517.4118825,356.836885,20874.2487675,4855,68667.75
"OIL",3284,3369,6653,18922.2572,241.06446,19163.32166,15373,412.1
"TORNTPOWER",3653,3648,7301,18665.82813,225.7213025,18891.5494325,13072,1264.2
"PHOENIXLTD",2737,2797,5534,17759.63644,122.88276,17882.5192,15307,1850
"CYIENT",2800,6019,8819,12985.875,219.6003475,13205.4753475,5357,1101.5
